Kód,Název,kampaně,Výrobce,Kód dodavatele,Sekce,Anotace,Popis,Parametry,Fotografie,Sazba DPH,cena bez DPH [Kč],cena s DPH [Kč],sleva [%],cena pro slevu,cena po slevě bez DPH [Kč],cena po slevě s DPH [Kč],skladem [ks],Dostupnost,záruka [měs.],Zobrazovat ve srovnávačích,cena za proklik [Kč],Kód EAN,Počet prodaných kusů,ID produktu,SEO Titulek,SEO Popis,Přílohy,Hmotnost,Šířka,Výška,Hloubka,Datum vytvoření,Viditelné - produkt,Viditelné - varianta,Varianta: Odstín BB,Varianta: Odstín tužka,Varianta: Odstín rtěnka 80408,Varianta: Odstín rtěnka 80409,Varianta: Dětský kartáček,Varianta: Kartáček ProDental,Varianta: Tužka na oči a obočí,Varianta: Rtěnka Cushion,Varianta: Tonální přípravek Cushion,Varianta: Tužka na obočí,Varianta: Ovocný balzám na rty,Varianta: Odstín pudru,Varianta: Počet kusů,Parametr: Akce,Parametr: Maximální koupitelný počet,Parametr: Min Limit,Parametr: Poměr základní,Parametr: Poměr ND,Parametr: Poměr D,Parametr: Typ vlasů,Parametr: Typ pleti,Parametr: Typ vložek,Parametr: Použití krému,Parametr: Vady pleti,Parametr: Objem,Parametr: Kusy,Parametr: Aktivní složky,Parametr: Neposílat do GEIS,Parametr: Emailový kurz,Parametr: Reálná hmotnost,Parametr: Pořadí v novinkách,Parametr: Doporučený věk,Parametr: Rádce s péčí o pleť,Parametr: Produktová řada,Parametr: Min Limit SK,Fotografie 1,Fotografie 2,Fotografie 3,Fotografie 4,Fotografie 5,Fotografie 6
41105,Regenerační krém na nohy s hadím olejem,WMS,,,Muži,"Efektivně zvlhčuje a vyživuje pokožku, stimuluje krevní oběh, zjemňuje zrohovatělou kůži na patách. Změkčuje kůžičku kolem nehtů na palcích u nohou. Hlavním cílem tohoto přípravku je odstranění prasklin na patách.","<div>
<h3>Proti prasklinám a kuřím okům</h3>

<p>Intenzivně zjemňuje, vyživuje a regeneruje pokožku chodidel a kutikulu prstů na nohou. Osvěžuje a má deodorační účinek. Zabraňuje vysušení pokožky a vzniku prasklin.</p>

<p>Díky pravidelnému používání tohoto přípravku se pokožka revitalizuje a získá přirozenou elasticitu. </p>
</div>","<div> </div>

<div> </div>",,21,"56,20","68,00",0,"56,1983","56,1983",68,1609,,,Y,,6920031426836,34980,83,,,,"0,03",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,50,,,,,,,,,,1,"Allantoin,Hadí tuk,Jojoba,Mandle,Vaječný olej,Vitamin E",,,36,,,,Hadí řada,50,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2356.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2357.png,,,,
44402-1,Fytogel na nohy Slaviton,WMS,,,Muži,"Slaviton TianDe je unikátní chladivý fytogel na nohy, který přináší okamžitou úlevu unaveným, oteklým a těžkým nohám.","<p style=""text-align:justify"">Slaviton je inspirován tradiční čínskou medicínou a tisíce let prověřených receptur. Tento chladivý gel na unavené a oteklé nohy kombinuje účinné přírodní extrakty a esenciální oleje pro podporu cirkulace krve, zmírnění otoků a osvěžení unavených nohou. Ať už trávíte dlouhé hodiny ve stoje, nebo bojujete s pocitem těžkých nohou, Slaviton je vaším spolehlivým pomocníkem pro každodenní péči a pohodlí.</p>",,,21,"329,75","399,00",0,"230,8265","329,7521",399,11826,,,Y,,4813409002096,57365,89,Slaviton tianDe chladivý fytogel pro okamžitou úlevu oteklých nohou,"Chladivý fytogel pomáhá při pocitu těžkých, oteklých a unavených nohou. Bylinné extrakty osvěžují pokožku a podporují zmírnění otoků již po prvním namazání.",,"0,148",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,50,,,,,,,,,125,1,"Heřmánek pravý,Chmel otáčivý,Kaštan koňský,Mentol,Rozmarýn lékařský,Řasy,Třezalka tečkovaná,Tymián,Vilín virginský",,,,,,,Altai Sacral,30,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2402.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2403.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2024/07/p6172.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2024/07/p6173.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2024/07/p6186.png,https://www.kralovstvi-tiande.cz/data/photos/2024/07/p6188.png
63601/01,Denní vložka Energie života,WMS,,,Zdraví,"Fytomembrána poskytuje pocit jistoty a komfortu. Vložka má speciální fytomembránu, která podporuje přirozenou rovnováhu pH a má příznivý vliv na mikroflóru. Poskytuje pocit jistoty a komfortu. Vhodná pro každodenní použití.",,,,21,"52,07","63,00",0,"46,8595","52,0661",63,3472,,,Y,,6910698083817,76161,94,,,,0,,,,01/01/2023,Y,Y,,,,,,,,,,,,,1ks,,,10,,,,,,speciální,,,,1,"Aloe,Alunit,Děhel,Knidium,Kurkuma,Máta peprná,Pivoňka čínská,Truskavec ptačí",,,,,,,,5,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2216.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2217.jpeg,,,,
63601/05,Denní vložka Energie života,WMS,,,Zdraví,"Fytomembrána poskytuje pocit jistoty a komfortu. Vložka má speciální fytomembránu, která podporuje přirozenou rovnováhu pH a má příznivý vliv na mikroflóru. Poskytuje pocit jistoty a komfortu. Vhodná pro každodenní použití.",,,,21,"260,33","315,00",0,"46,8595","260,3306",315,955,,,Y,,1254784695478,76161,94,,,,0,,,,01/01/2023,Y,Y,,,,,,,,,,,,,5ks,,,10,,,,,,speciální,,,,1,"Aloe,Alunit,Děhel,Knidium,Kurkuma,Máta peprná,Pivoňka čínská,Truskavec ptačí",,,,,,,,5,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2216.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2217.jpeg,,,,
63601/10,Denní vložka Energie života,WMS,,,Zdraví,"Fytomembrána poskytuje pocit jistoty a komfortu. Vložka má speciální fytomembránu, která podporuje přirozenou rovnováhu pH a má příznivý vliv na mikroflóru. Poskytuje pocit jistoty a komfortu. Vhodná pro každodenní použití.",,,,21,"520,66","630,00",0,"46,8595","520,6612",630,420,,,Y,,1362489578965,76161,94,,,,0,,,,01/01/2023,Y,Y,,,,,,,,,,,,,10ks,,,10,,,,,,speciální,,,,1,"Aloe,Alunit,Děhel,Knidium,Kurkuma,Máta peprná,Pivoňka čínská,Truskavec ptačí",,,,,,,,5,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2216.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2217.jpeg,,,,
60145/05,Denní hygienická vložka „Jemná péče“,WMS,,,Zdraví,"Pečují o ženu, nikoli jen o spodní prádlo. Měkká vrchní vrstva z přírodního materiálu okamžitě propouští vlhkost dovnitř, poskytuje dlouhotrvající pocit svěžesti a komfortu. Vnitřní fytonáplň obsahuje přírodní výtažky, které pomáhají ničit bakterie . Široký lepicí proužek zajišťuje vynikající fixaci vložky na prádle.","<p dir=""ltr""><strong id=""docs-internal-guid-798d417b-7fff-f0cd-8406-026f360c1e6d"">Pečují o ženu, nikoli jen o spodní prádlo!</strong> <strong id=""docs-internal-guid-798d417b-7fff-f0cd-8406-026f360c1e6d"">Měkká vrchní vrstva z přírodního materiálu okamžitě propouští vlhkost dovnitř, poskytuje dlouhotrvající pocit svěžesti a komfortu. Vnitřní fytonáplň obsahuje přírodní výtažky, které pomáhají ničit bakterie . Široký lepicí proužek zajišťuje vynikající fixaci vložky na prádle.</strong></p>

<p> </p>",,,21,"260,33","315,00",0,"52,0661","260,3306",315,476,,,Y,,1234567891234,42843,95,,,,"0,005",,,,01/01/2023,Y,Y,,,,,,,,,,,,,5ks,,,100,,,,,,speciální,,,,1,"Alunit,Borneol,Děhel,gardénie jasmínovitá,Chryzantema,jerlín japonský,kaempferol,Máta peprná,osthol,pampeliška,Zimolez",,,5,,,,,100,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2228.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2229.png,,,,
60145/10,Denní hygienická vložka „Jemná péče“,WMS,,,Zdraví,"Pečují o ženu, nikoli jen o spodní prádlo. Měkká vrchní vrstva z přírodního materiálu okamžitě propouští vlhkost dovnitř, poskytuje dlouhotrvající pocit svěžesti a komfortu. Vnitřní fytonáplň obsahuje přírodní výtažky, které pomáhají ničit bakterie . Široký lepicí proužek zajišťuje vynikající fixaci vložky na prádle.","<p dir=""ltr""><strong id=""docs-internal-guid-798d417b-7fff-f0cd-8406-026f360c1e6d"">Pečují o ženu, nikoli jen o spodní prádlo!</strong> <strong id=""docs-internal-guid-798d417b-7fff-f0cd-8406-026f360c1e6d"">Měkká vrchní vrstva z přírodního materiálu okamžitě propouští vlhkost dovnitř, poskytuje dlouhotrvající pocit svěžesti a komfortu. Vnitřní fytonáplň obsahuje přírodní výtažky, které pomáhají ničit bakterie . Široký lepicí proužek zajišťuje vynikající fixaci vložky na prádle.</strong></p>

<p> </p>",,,21,"520,66","630,00",0,"52,0661","520,6612",630,308,,,Y,,8534769210536,42843,95,,,,"0,005",,,,01/01/2023,Y,Y,,,,,,,,,,,,,10ks,,,100,,,,,,speciální,,,,1,"Alunit,Borneol,Děhel,gardénie jasmínovitá,Chryzantema,jerlín japonský,kaempferol,Máta peprná,osthol,pampeliška,Zimolez",,,5,,,,,100,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2228.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2229.png,,,,
60145/01,Denní hygienická vložka „Jemná péče“,WMS,,,Zdraví,"Pečují o ženu, nikoli jen o spodní prádlo. Měkká vrchní vrstva z přírodního materiálu okamžitě propouští vlhkost dovnitř, poskytuje dlouhotrvající pocit svěžesti a komfortu. Vnitřní fytonáplň obsahuje přírodní výtažky, které pomáhají ničit bakterie . Široký lepicí proužek zajišťuje vynikající fixaci vložky na prádle.","<p dir=""ltr""><strong id=""docs-internal-guid-798d417b-7fff-f0cd-8406-026f360c1e6d"">Pečují o ženu, nikoli jen o spodní prádlo!</strong> <strong id=""docs-internal-guid-798d417b-7fff-f0cd-8406-026f360c1e6d"">Měkká vrchní vrstva z přírodního materiálu okamžitě propouští vlhkost dovnitř, poskytuje dlouhotrvající pocit svěžesti a komfortu. Vnitřní fytonáplň obsahuje přírodní výtažky, které pomáhají ničit bakterie . Široký lepicí proužek zajišťuje vynikající fixaci vložky na prádle.</strong></p>

<p> </p>",,,21,"52,07","63,00",0,"52,0661","52,0661",63,6648,,,Y,,222222,42843,95,,,,"0,005",,,,01/01/2023,Y,Y,,,,,,,,,,,,,1ks,,,100,,,,,,speciální,,,,1,"Alunit,Borneol,Děhel,gardénie jasmínovitá,Chryzantema,jerlín japonský,kaempferol,Máta peprná,osthol,pampeliška,Zimolez",,,5,,,,,100,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2228.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2229.png,,,,
30101,Krystalový tělový deodorant Natural Veil,WMS,,,Muži,"100% přírodní deodorant.  Ze 100 % se skládá z horninového sopečného minerálu alunite, který eliminuje tělesný pach a neucpává póry. Nezanechává žádné stopy na oblečení. Bez zápachu. Hypoalergenní. Vhodný pro muže i ženy.","<div>100% přírodní deodorant.  Ze 100 % se skládá z horninového sopečného minerálu alunite, který eliminuje tělesný pach a neucpává póry. Nezanechává žádné stopy na oblečení. Bez zápachu. Hypoalergenní. Vhodný pro muže i ženy.</div>

<div> </div>","<p><strong>Jak používat:</strong> Namočte krystal vodou, aplikujte na čistou pokožku.</p>",,21,"313,22","379,00",0,"313,2231","313,2231",379,1338,,,Y,,6921301012544,9863,112,,,,"0,06",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,20,,,,,,,,,,1,Alunit,,,83,,,,,20,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2835.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2024/08/p6509.jpeg,,,,
61902,Denní menstruační vložky s fytomembránou „Energie bylin“,WMS,,,Zdraví,"Fytomembrána poskytuje pocit jistoty a komfortu. Přírodní horní vrstva Airlaid rychle propouští tekutinu dovnitř vložky a zabraňuje jejímu prosakování na povrch, díky čemuž pokožka zůstává suchá a čistá .  Vnitřní absorpční vrstva obsahuje super absorpční látku v podobě granulí, které spolehlivě zadržují tekutinu .  Unikátní fytomembrána obsahuje patentovaný koncentrát bylinných výtažků .  Křidélka chrání spodní prádlo na okrajích, poskytují pocit komfortu při pohybu","<div>
<p> </p>
</div>",,,21,"191,74","232,00",0,"191,7355","191,7355",232,1843,,,Y,,6921336301019,19852,134,,,,"0,063",,,,01/01/2023,Y,,,,,,,,,,,,,,,,,50,,,,,,denní menstruační,,,,8,"Aloe,Alunit,Děhel,Knidium,Kurkuma,Máta peprná,Pivoňka čínská,Truskavec ptačí",,,63,,,,Energie bylin,30,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2359.jpeg,https://www.kralovstvi-tiande.cz/data/photos/2023/11/p2360.jpeg,,,,
